get on one's feet	（新しい任地・環境に）慣れて自立する、独り立ちする	He will get me on my feet, and then he will go.	彼が私を軌道に乗せてくれたら、あとは去っていくの。
the nation of X is not big enough for the both of us	（西部劇の決闘台詞のもじり）二人が同時にそこにいるのは狭すぎる、両立できない	You think the nation of Afghanistan is not big enough for the both of us?	アフガニスタンには、私たち二人が同時にいる余地はないとでも思ってるの？
dry run	本番前の予行演習、リハーサル	We try to do a dry run with all the gear.	一式の装備を使って予行演習をしてみます。
lean into something	（あるイメージ・要素を）逆手に取って前面に押し出す	First-time ambassador. Lean into the Cinderella thing.	初めての女性大使なんだから、シンデレラ物語を前面に押し出しましょう。
corridor rep	組織内の評判、実務能力に対する社内での評判（「廊下の噂」から）	Her corridor rep is fantastic, but she's a little...	彼女の社内評価は素晴らしいけど、少し……
kingmaker	（表舞台に出ず）指導者を陰で選び動かす黒幕	I'm not asking for "return of the kingmaker."	「キングメーカーの再来」を頼んでいるわけじゃない。
a pain in someone's ass	うるさく面倒をかける存在、厄介者	You're being a pain in my ass.	あなたは本当に厄介な人ね。
deputy chief of mission	首席公使、大使館ナンバー2の役職（外交用語）	I'm Stuart Hayford, your deputy chief of mission.	私はスチュアート・ヘイフォード、あなたの首席公使です。
arranged marriage	政略結婚、お見合い結婚（ここでは新任大使と大使館スタッフの関係を皮肉って使用）	I guess this is what arranged marriage feels like.	これがお見合い結婚というものの感覚なのね。
reassuring perimeter	安心感を与える周囲の防護（治安上、安全な立地であることの比喩）	Regent's Park provided a reassuring perimeter.	リージェンツ・パークが、安心できる防護帯の役割を果たしていた。
the Situation Room	（ホワイトハウス地下の）危機管理室、安全保障会議室	The vice president was missing from yesterday's Situation Room meeting.	副大統領は昨日の安全保障会議を欠席していた。
cite something	（理由・根拠として）挙げる	Her office cited schedule constraints.	彼女の事務所はスケジュール上の制約を理由に挙げた。
lay a wreath	献花する、花輪を捧げる（弔意を示す儀礼）	To lay a wreath in honor of the fallen sailors.	戦死した水兵たちを追悼して花輪を捧げるために。
present one's credentials	信任状を提出する（新任大使が正式に任国に着任する外交儀礼）	Then you'll submit them officially at Buckingham Palace.	その後、バッキンガム宮殿で正式に信任状を提出することになる。
split one's skirt	スカートの後ろを裂いてしまう（着任式でのハプニングとして語られる）	Mrs. Vayle split her skirt up the back.	ヴェイル夫人はスカートの後ろを裂いてしまったの。
do a feature	（新聞・雑誌が人物などの）特集記事を組む	She's good, she'll do a feature.	彼女は優秀だから、いい特集記事を書いてくれるはずよ。
ditch something	（計画・提案などを）やめる、放棄する	It's fine. We'll ditch it.	大丈夫、その案はやめましょう。
stretch one's legs	少し体を動かす、散歩する	I think I'm gonna stretch my legs.	ちょっと体を動かしてくるよ。
tag along	（誰かに）ついて行く、同行する	Him tagging along is not--	彼が付いてくるのは……
get one's ass in the saddle	本腰を入れて物事に取り組む、仕事に慣れる（下品でくだけた表現、"get on one's feet"の乱暴な言い換え）	Did you ask me to help get your feet on the ground or your ass in the saddle?	軌道に乗る手伝いをしてくれと頼んだはずでしょう？
the pit wash	脇の下をさっと拭くこと（身支度を整える際のくだけた言い方）	Sure? I can do the pit wash.	本当に大丈夫？脇の下、拭いてあげようか？
keep the focus tight	話や対応の焦点を絞る、広げすぎない	Keep the focus tight.	話の焦点を絞っておいて。
chief of station	（CIAの）現地支局長	CIA chief of station.	CIA支局長です。
clock something	（変化・異常などに）気づく、察知する	They clocked some instability in a propeller.	彼らはプロペラの不安定な動きに気づいた。
ramp up	（調査・活動などが）本格化する	The investigation hasn't ramped up.	捜査はまだ本格化していない。
horror show	目も当てられないひどい惨状	Nicol, what a fucking horror show.	ニコル、まったくひどい惨状だな。
career officer / political appointee	キャリア外交官／政治任用の大使（実力で昇進した外交官と、政治的献金などで大使になった人物を対比する外交用語）	Kate's a career officer. Not a political appointee.	ケイトはキャリア外交官であって、政治任用の大使ではないんです。
whip something into a frenzy	（人・集団を）扇動して興奮状態にする	Too busy whipping the Sunni coalition into a frenzy.	スンニ派連合を扇動して熱狂させるのに忙しい。
swing one's dick around	権力を誇示していばり散らす（下品な口語表現）	He's swinging his dick around the Persian Gulf.	彼はペルシャ湾であちこちに威張り散らしているだけだ。
batting order	（電話などの）優先順位、対応する順番（野球の打順から転じた比喩）	Any idea how much planning went into the batting order on your phone sheet?	あなたへの電話をどの順番でつなぐか、どれだけ計画したか分かる？
scintillating	（皮肉を込めて）さぞ面白そうな、刺激的な	It sounds scintillating.	さぞかし刺激的でしょうね（皮肉）。
cover someone's ass	（人の）失態・落ち度を庇う、尻拭いをする	You're covering Ganon's ass for him.	あなたはギャノンの尻拭いをしているのよ。
tie the knot	（本来は結婚するの意）ここでは信任状提出の儀式を皮肉って比喩的に使用	Ready to tie the knot?	いよいよ「結婚式」（信任状の受け渡し）の準備はいい？
muck up someone's day	（人の）予定・一日を台無しにする	Does that muck up your day?	それで君の予定が台無しになるかな？
jump into the fray	争い・混乱の渦中に飛び込む	We're grateful to have you jumping into the fray.	あなたが早速この混乱の渦中に飛び込んでくれて感謝しています。
on the front foot	積極的な姿勢で、先手を取って	I believe he's very much on the front foot.	彼はかなり積極的な姿勢に出ていると思います。
have one's ducks in a row	準備をきちんと整えている	He just wants to make sure his ducks are in a row before he does.	電話をかける前に、きちんと段取りを整えておきたいだけなんです。
hole up	（人目を避けて）どこかに閉じこもる、身を潜める	Let's hole us up somewhere where they can't find us.	誰にも見つからない場所に閉じこもりましょう。
sit around with one's thumbs up one's ass	何もせずぼんやり突っ立っている（下品な口語表現）	Made the whole American delegation look like they were sitting around with their thumbs up their asses.	アメリカ代表団全体が、何もせずぼーっと突っ立っているように見せてしまった。
blow in	（前触れなく）勢いよく乗り込んでくる	Blew in and made the whole American delegation look like that.	突然乗り込んできて、アメリカ代表団を間抜けに見せてしまった。
get a readout	（会談などの）内容報告、要約を受け取る	You got a readout?	会談の報告は受けた？
at post	任地に着任して、赴任先で	You've been at post for an hour.	赴任してまだ1時間なのに。
non-nothingness	（皮肉交じりの造語）「無ではない」ということ、多少の意味があること	It's not nothing. They'll appreciate its non-nothingness.	ゼロというわけじゃない。彼らはその「無ではない」ことのありがたみを分かってくれるはず。
Tory operative	保守党（Tory）の選挙工作員、参謀	She's a Tory operative.	彼女は保守党の選挙参謀なんです。
the brains behind the operation	（計画・作戦の）頭脳、黒幕	She was the brains behind the operation.	彼女がその作戦の頭脳だった。
peewee soccer	幼児・低学年向けのサッカー（比喩で「人畜無害で親しみやすい」というニュアンス）	You wish had time to coach peewee soccer.	少年サッカーのコーチでもしていそうな人畜無害な感じに仕立て上げる。
media hit	メディア露出、報道で取り上げられること	Your first media hit in the country can't be a candid with Meg Roylin.	この国での最初のメディア露出が、メグ・ロイリンとのツーショットではまずい。
slow-roll something	（手続きなどを）わざと遅らせる	They asked me to slow-roll her clearance.	彼女の着任認可の手続きを、わざと遅らせろと頼まれた。
